TAZ,Commodity,Quantity
13385,Single Family Detached Residential Economy,3726.4
13386,Single Family Detached Residential Economy,3726.4
13391,Single Family Detached Residential Economy,3726.4
13393,Single Family Detached Residential Economy,3726.4
13395,Single Family Detached Residential Economy,3726.4
14576,Single Family Detached Residential Luxury,461.4
14576,Single Family Attached Residential Economy,824.8
14576,Multi-Family Residential Economy,1337.6
14577,Single Family Detached Residential Luxury,461.4
14577,Single Family Attached Residential Economy,824.8
14577,Multi-Family Residential Economy,1337.6
14578,Single Family Detached Residential Luxury,461.4
14578,Single Family Attached Residential Economy,824.8
14578,Multi-Family Residential Economy,1337.6
14579,Single Family Detached Residential Luxury,461.4
14579,Single Family Attached Residential Economy,824.8
14579,Multi-Family Residential Economy,1337.6
14580,Single Family Detached Residential Luxury,461.4
14580,Single Family Attached Residential Economy,824.8
9069,Retail Space,12276.5
9088,Single Family Attached Residential Economy,864
9088,Multi-Family Residential Economy,7796.5
9088,Retail Space,12276.5
9989,Active Park Space,0
9989,Religious Space,0
9989,Light Industrial Space,31958.66667
9990,Active Park Space,0
9990,Religious Space,0
9990,Light Industrial Space,31958.66667
9991,Active Park Space,0
9991,Religious Space,0
9991,Light Industrial Space,31958.66667
9992,Active Park Space,0
9992,Religious Space,0
9992,Light Industrial Space,31958.66667
9993,Active Park Space,0
9993,Religious Space,0
9993,Light Industrial Space,31958.66667
9995,Light Industrial Space,20702
9996,Light Industrial Space,20702
9997,Light Industrial Space,20702
9999,Light Industrial Space,20702
10001,Light Industrial Space,20702
10002,Light Industrial Space,20702
10006,Active Park Space,0
10006,Religious Space,0
10006,Light Industrial Space,31958.66667
10024,Retail Space,243.6
10024,Light Industrial Space,0
10025,Retail Space,243.6
10025,Light Industrial Space,0
10028,Retail Space,243.6
10028,Light Industrial Space,0
10029,Retail Space,243.6
10029,Light Industrial Space,0
10030,Retail Space,243.6
10030,Light Industrial Space,0
10038,Single Family Detached Residential Economy,6876
10041,Multi-Family Residential Economy,285.75
10041,Single Family Detached Residential Economy,5092.6875
10041,Single Family Attached Residential Economy,481
10042,Multi-Family Residential Economy,285.75
10042,Single Family Detached Residential Economy,5092.6875
10042,Single Family Attached Residential Economy,481
10043,Multi-Family Residential Economy,285.75
10043,Single Family Detached Residential Economy,5092.6875
10043,Single Family Attached Residential Economy,481
10051,Single Family Detached Residential Economy,6876
10052,Multi-Family Residential Economy,285.75
10052,Single Family Detached Residential Economy,5092.6875
10052,Single Family Attached Residential Economy,481
10053,Multi-Family Residential Economy,285.75
10053,Single Family Detached Residential Economy,5092.6875
10053,Single Family Attached Residential Economy,481
10054,Multi-Family Residential Economy,285.75
10054,Single Family Detached Residential Economy,5092.6875
10054,Single Family Attached Residential Economy,481
10055,Multi-Family Residential Economy,285.75
10055,Single Family Detached Residential Economy,5092.6875
10055,Single Family Attached Residential Economy,481
10056,Multi-Family Residential Economy,285.75
10056,Single Family Detached Residential Economy,5092.6875
10056,Single Family Attached Residential Economy,481
10057,Multi-Family Residential Economy,285.75
10057,Single Family Detached Residential Economy,5092.6875
10057,Single Family Attached Residential Economy,481
10058,Multi-Family Residential Economy,285.75
10058,Single Family Detached Residential Economy,5092.6875
10058,Single Family Attached Residential Economy,481
10065,Light Industrial Space,32404.33333
10067,Light Industrial Space,32404.33333
10069,Light Industrial Space,32404.33333
10868,Single Family Detached Residential Economy,24196
10925,Single Family Detached Residential Economy,4497.6
10926,Single Family Detached Residential Economy,4497.6
10927,Single Family Detached Residential Economy,4497.6
10929,Single Family Detached Residential Economy,4497.6
10930,Single Family Detached Residential Economy,4497.6
10953,Active Park Space,0
10953,Single Family Detached Residential Economy,96557
10953,Primary Schools,56691
10989,Single Family Detached Residential Economy,32633
12192,Retail Space,0
12193,Retail Space,0
12195,Retail Space,0
12196,Retail Space,0
12197,Retail Space,0
12859,Single Family Detached Residential Economy,2007.333333
12859,Single Family Attached Residential Economy,7597.666667
12859,Single Family Detached Residential Luxury,2505.666667
12860,Single Family Detached Residential Economy,2007.333333
12860,Single Family Attached Residential Economy,7597.666667
12860,Single Family Detached Residential Luxury,2505.666667
12861,Single Family Detached Residential Economy,2007.333333
12861,Single Family Attached Residential Economy,7597.666667
12861,Single Family Detached Residential Luxury,2505.666667
13871,Single Family Detached Residential Economy,322.8
13871,Single Family Detached Residential Luxury,553.6
13871,Single Family Attached Residential Economy,1895
13871,Multi-Family Residential Economy,907.6
13871,Retail Space,1670
13872,Single Family Detached Residential Economy,322.8
13872,Single Family Detached Residential Luxury,553.6
13872,Single Family Attached Residential Economy,1895
13872,Multi-Family Residential Economy,907.6
13872,Retail Space,1670
13873,Single Family Detached Residential Economy,322.8
13873,Single Family Detached Residential Luxury,553.6
13873,Single Family Attached Residential Economy,1895
13873,Multi-Family Residential Economy,907.6
13873,Retail Space,1670
13874,Single Family Detached Residential Economy,322.8
19406,Retail Space,0
19406,Multi-Family Residential Economy,582
19407,Single Family Attached Residential Economy,503.3333333
19407,Retail Space,0
19407,Multi-Family Residential Economy,582
19408,Single Family Attached Residential Economy,503.3333333
19408,Retail Space,0
19408,Multi-Family Residential Economy,582
19414,Single Family Detached Residential Luxury,744
19415,Single Family Detached Residential Luxury,744
19416,Single Family Detached Residential Luxury,744
19426,Single Family Attached Residential Economy,503.3333333
19426,Retail Space,0
19426,Multi-Family Residential Economy,582
19461,Retail Space,0
19461,Single Family Detached Residential Luxury,164.3333333
19461,Single Family Attached Residential Economy,1655.666667
19461,Single Family Detached Residential Economy,691.6666667
19462,Retail Space,0
19462,Single Family Detached Residential Luxury,164.3333333
19462,Single Family Attached Residential Economy,1655.666667
19462,Single Family Detached Residential Economy,691.6666667
19463,Retail Space,0
19463,Single Family Detached Residential Luxury,164.3333333
19463,Single Family Attached Residential Economy,1655.666667
19463,Single Family Detached Residential Economy,691.6666667
19465,Retail Space,0
19465,Single Family Detached Residential Luxury,164.3333333
19465,Single Family Attached Residential Economy,1655.666667
19465,Single Family Detached Residential Economy,691.6666667
19466,Retail Space,0
19466,Single Family Detached Residential Luxury,164.3333333
19466,Single Family Attached Residential Economy,1655.666667
19466,Single Family Detached Residential Economy,691.6666667
19467,Retail Space,0
19467,Single Family Detached Residential Luxury,164.3333333
19467,Single Family Attached Residential Economy,1655.666667
19467,Single Family Detached Residential Economy,691.6666667
19468,Single Family Detached Residential Luxury,90.57142857
19468,Retail Space,328.5714286
19468,Single Family Detached Residential Economy,213.5714286
19468,Single Family Attached Residential Economy,823
19468,Multi-Family Residential Economy,1119.5
19469,Single Family Detached Residential Luxury,90.57142857
19469,Retail Space,328.5714286
19469,Single Family Detached Residential Economy,213.5714286
19469,Single Family Attached Residential Economy,823
19469,Multi-Family Residential Economy,1119.5
19470,Single Family Detached Residential Luxury,90.57142857
19470,Retail Space,328.5714286
19470,Single Family Detached Residential Economy,213.5714286
19470,Single Family Attached Residential Economy,823
19470,Multi-Family Residential Economy,1119.5
19471,Single Family Detached Residential Luxury,90.57142857
19471,Retail Space,328.5714286
19471,Single Family Detached Residential Economy,213.5714286
19471,Single Family Attached Residential Economy,823
19471,Multi-Family Residential Economy,1119.5
19472,Single Family Detached Residential Luxury,90.57142857
19472,Retail Space,328.5714286
19472,Single Family Detached Residential Economy,213.5714286
19472,Single Family Attached Residential Economy,823
19472,Multi-Family Residential Economy,1119.5
19473,Single Family Detached Residential Luxury,90.57142857
19473,Retail Space,328.5714286
19473,Single Family Detached Residential Economy,213.5714286
19473,Single Family Attached Residential Economy,823
19473,Multi-Family Residential Economy,1119.5
19474,Single Family Detached Residential Luxury,90.57142857
19474,Retail Space,328.5714286
19474,Single Family Detached Residential Economy,213.5714286
19474,Single Family Attached Residential Economy,823
19474,Multi-Family Residential Economy,1119.5
19475,Single Family Detached Residential Luxury,90.57142857
19475,Retail Space,328.5714286
19475,Single Family Detached Residential Economy,213.5714286
19475,Single Family Attached Residential Economy,823
19475,Multi-Family Residential Economy,1119.5
19476,Single Family Detached Residential Luxury,90.57142857
19476,Retail Space,328.5714286
19476,Single Family Detached Residential Economy,213.5714286
19476,Single Family Attached Residential Economy,823
19476,Multi-Family Residential Economy,1119.5
19477,Single Family Detached Residential Luxury,90.57142857
19477,Retail Space,328.5714286
19477,Single Family Detached Residential Economy,213.5714286
19477,Single Family Attached Residential Economy,823
19477,Multi-Family Residential Economy,1119.5
19478,Single Family Detached Residential Luxury,90.57142857
19478,Retail Space,328.5714286
19478,Single Family Detached Residential Economy,213.5714286
19478,Single Family Attached Residential Economy,823
19478,Multi-Family Residential Economy,1119.5
19479,Single Family Detached Residential Luxury,90.57142857
19479,Retail Space,328.5714286
19479,Single Family Detached Residential Economy,213.5714286
19479,Single Family Attached Residential Economy,823
19479,Multi-Family Residential Economy,1119.5
19480,Single Family Detached Residential Luxury,90.57142857
19480,Retail Space,328.5714286
19480,Single Family Detached Residential Economy,213.5714286
19480,Single Family Attached Residential Economy,823
19480,Multi-Family Residential Economy,1119.5
19481,Single Family Detached Residential Luxury,90.57142857
19481,Retail Space,328.5714286
19481,Single Family Detached Residential Economy,213.5714286
19481,Single Family Attached Residential Economy,823
19481,Multi-Family Residential Economy,1119.5
20903,Single Family Detached Residential Economy,69.96
20903,Single Family Detached Residential Luxury,731
21613,Single Family Detached Residential Luxury,551
21613,Retail Space,1676.6
21613,Office Space,1192.8
21613,Multi-Family Residential Economy,1651.2
21677,Office Space,594.1818182
21679,Office Space,594.1818182
21680,Office Space,594.1818182
21681,Office Space,594.1818182
21686,Office Space,594.1818182
21687,Office Space,594.1818182
21688,Office Space,594.1818182
21689,Office Space,594.1818182
21690,Office Space,594.1818182
22395,Single Family Detached Residential Economy,1809.2
22395,Single Family Attached Residential Economy,2842
22395,Multi-Family Residential Economy,2273.6
22395,Primary Schools,12306.6
22398,Single Family Detached Residential Economy,1809.2
22398,Single Family Attached Residential Economy,2842
22398,Multi-Family Residential Economy,2273.6
22398,Primary Schools,12306.6
22400,Single Family Detached Residential Economy,1809.2
22400,Single Family Attached Residential Economy,2842
22400,Multi-Family Residential Economy,2273.6
22400,Primary Schools,12306.6
22403,Single Family Detached Residential Economy,1809.2
22403,Single Family Attached Residential Economy,2842
22403,Multi-Family Residential Economy,2273.6
22403,Primary Schools,12306.6
22408,Single Family Detached Residential Economy,1809.2
22408,Single Family Attached Residential Economy,2842
22408,Multi-Family Residential Economy,2273.6
22408,Primary Schools,12306.6
22422,Single Family Detached Residential Economy,917
22422,Single Family Attached Residential Economy,2856.5
22422,Multi-Family Residential Economy,14314.5
22423,Single Family Detached Residential Economy,917
22423,Single Family Attached Residential Economy,2856.5
22423,Multi-Family Residential Economy,14314.5
22439,Multi-Family Residential Economy,824.4285714
22439,Single Family Detached Residential Economy,959.2857143
22439,Single Family Attached Residential Economy,2441.142857
22440,Multi-Family Residential Economy,824.4285714
22440,Single Family Detached Residential Economy,959.2857143
22440,Single Family Attached Residential Economy,2441.142857
22441,Multi-Family Residential Economy,824.4285714
22441,Single Family Detached Residential Economy,959.2857143
22441,Single Family Attached Residential Economy,2441.142857
22442,Multi-Family Residential Economy,824.4285714
22442,Single Family Detached Residential Economy,959.2857143
22442,Single Family Attached Residential Economy,2441.142857
22443,Multi-Family Residential Economy,824.4285714
22443,Single Family Detached Residential Economy,959.2857143
22443,Single Family Attached Residential Economy,2441.142857
22447,Multi-Family Residential Economy,4947
22447,Single Family Attached Residential Economy,10280
22447,Single Family Detached Residential Economy,21796
22448,Multi-Family Residential Economy,824.4285714
22448,Single Family Detached Residential Economy,959.2857143
22448,Single Family Attached Residential Economy,2441.142857
22511,Retail Space,1460.333333
22511,Single Family Detached Residential Economy,163.8333333
22511,Single Family Attached Residential Economy,3061.666667
22511,Multi-Family Residential Economy,4415.5
22511,Single Family Detached Residential Luxury,2409.333333
22512,Retail Space,1460.333333
22512,Single Family Detached Residential Economy,163.8333333
22512,Single Family Attached Residential Economy,3061.666667
22512,Multi-Family Residential Economy,4415.5
22512,Single Family Detached Residential Luxury,2409.333333
22530,Retail Space,1460.333333
22530,Single Family Detached Residential Economy,163.8333333
22530,Single Family Attached Residential Economy,3061.666667
22530,Multi-Family Residential Economy,4415.5
22530,Single Family Detached Residential Luxury,2409.333333
22531,Retail Space,1460.333333
22531,Single Family Detached Residential Economy,163.8333333
22531,Single Family Attached Residential Economy,3061.666667
22531,Multi-Family Residential Economy,4415.5
22531,Single Family Detached Residential Luxury,2409.333333
22534,Retail Space,1460.333333
22534,Single Family Detached Residential Economy,163.8333333
22534,Single Family Attached Residential Economy,3061.666667
22534,Multi-Family Residential Economy,4415.5
22534,Single Family Detached Residential Luxury,2409.333333
18435,Single Family Detached Residential Economy,659.2
18435,Single Family Attached Residential Economy,2840
18435,Single Family Detached Residential Luxury,3910.8
18439,Single Family Detached Residential Economy,659.2
18439,Single Family Attached Residential Economy,2840
18439,Single Family Detached Residential Luxury,3910.8
18442,Single Family Detached Residential Economy,659.2
18442,Single Family Attached Residential Economy,2840
18442,Single Family Detached Residential Luxury,3910.8
18443,Light Industrial Space,0
18443,Religious Space,0
18443,Active Park Space,492
18443,Single Family Attached Residential Economy,6358
18443,Single Family Detached Residential Luxury,79389
18443,Single Family Detached Residential Economy,13521
18443,Multi-Family Residential Economy,17074.66667
18444,Light Industrial Space,0
18444,Religious Space,0
18444,Active Park Space,492
18444,Single Family Attached Residential Economy,6358
18444,Single Family Detached Residential Luxury,79389
18444,Single Family Detached Residential Economy,13521
20327,Single Family Detached Residential Luxury,30
20328,Single Family Detached Residential Economy,394.8333333
20328,Single Family Attached Residential Economy,611.8333333
20328,Single Family Detached Residential Luxury,30
20329,Single Family Detached Residential Economy,394.8333333
20329,Single Family Attached Residential Economy,611.8333333
20329,Single Family Detached Residential Luxury,30
20332,Single Family Detached Residential Economy,394.8333333
20332,Single Family Attached Residential Economy,611.8333333
20332,Single Family Detached Residential Luxury,30
20334,Single Family Detached Residential Economy,394.8333333
20334,Single Family Attached Residential Economy,611.8333333
20334,Single Family Detached Residential Luxury,30
20335,Single Family Detached Residential Economy,394.8333333
20335,Single Family Attached Residential Economy,611.8333333
20335,Single Family Detached Residential Luxury,30
20336,Single Family Detached Residential Economy,394.8333333
20336,Single Family Attached Residential Economy,611.8333333
20336,Single Family Detached Residential Luxury,30
20340,Single Family Detached Residential Economy,226.6666667
20340,Government Operations Space,2166.666667
20340,Single Family Detached Residential Luxury,279
20340,Single Family Attached Residential Economy,1034.666667
20340,Multi-Family Residential Economy,7560.666667
20340,Retail Space,3196.666667
20343,Single Family Detached Residential Economy,394.8333333
20343,Single Family Attached Residential Economy,611.8333333
20343,Single Family Detached Residential Luxury,30
20344,Single Family Detached Residential Economy,394.8333333
20344,Single Family Attached Residential Economy,611.8333333
20344,Single Family Detached Residential Luxury,30
20349,Single Family Detached Residential Economy,394.8333333
20349,Single Family Attached Residential Economy,611.8333333
20349,Single Family Detached Residential Luxury,30
20354,Single Family Detached Residential Economy,394.8333333
20354,Single Family Attached Residential Economy,611.8333333
20354,Single Family Detached Residential Luxury,30
20357,Single Family Detached Residential Economy,394.8333333
20357,Single Family Attached Residential Economy,611.8333333
20357,Single Family Detached Residential Luxury,30
20376,Multi-Family Residential Economy,25412.25
20376,Retail Space,8228
20378,Multi-Family Residential Economy,25412.25
20378,Retail Space,8228
20379,Multi-Family Residential Economy,25412.25
20379,Retail Space,8228
20380,Multi-Family Residential Economy,25412.25
20380,Retail Space,8228
21089,Single Family Detached Residential Luxury,177.3333333
21089,Multi-Family Residential Economy,507.4444444
21089,Religious Space,150.2222222
21089,Single Family Detached Residential Economy,826.2222222
21089,Single Family Attached Residential Economy,3799.777778
21968,Light Industrial Space,0
21968,Single Family Detached Residential Economy,4707.692308
21969,Light Industrial Space,0
21969,Single Family Detached Residential Economy,4707.692308
21970,Light Industrial Space,0
21970,Single Family Detached Residential Economy,4707.692308
21971,Light Industrial Space,0
21971,Single Family Detached Residential Economy,4707.692308
21972,Light Industrial Space,0
21972,Single Family Detached Residential Economy,4707.692308
21978,Light Industrial Space,0
21978,Single Family Detached Residential Economy,4707.692308
21979,Light Industrial Space,0
21979,Single Family Detached Residential Economy,4707.692308
21980,Light Industrial Space,0
21980,Single Family Detached Residential Economy,4707.692308
22540,Light Industrial Space,7930
22541,Single Family Detached Residential Economy,2143.8
22541,Single Family Detached Residential Luxury,416.8
22541,Single Family Attached Residential Economy,5038.8
22541,Multi-Family Residential Economy,4317
22579,Single Family Detached Residential Economy,3792.5
22579,Single Family Attached Residential Economy,6667.5
22579,Single Family Detached Residential Luxury,4900
22580,Single Family Detached Residential Luxury,3003.333333
22580,Single Family Attached Residential Economy,3321.666667
22580,Single Family Detached Residential Economy,296
22580,Multi-Family Residential Economy,1649
22585,Single Family Detached Residential Economy,3792.5
22585,Single Family Attached Residential Economy,6667.5
22585,Single Family Detached Residential Luxury,4900
22592,Single Family Detached Residential Luxury,3003.333333
22592,Single Family Attached Residential Economy,3321.666667
22592,Single Family Detached Residential Economy,296
22592,Multi-Family Residential Economy,1649
22594,Single Family Detached Residential Luxury,3003.333333
22594,Single Family Attached Residential Economy,3321.666667
22594,Single Family Detached Residential Economy,296
22594,Multi-Family Residential Economy,1649
22606,Single Family Attached Residential Economy,1522.625
22606,Single Family Detached Residential Luxury,1673.875
22609,Single Family Attached Residential Economy,1522.625
22609,Single Family Detached Residential Luxury,1673.875
22610,Single Family Attached Residential Economy,1522.625
22610,Single Family Detached Residential Luxury,1673.875
22614,Single Family Attached Residential Economy,1522.625
22614,Single Family Detached Residential Luxury,1673.875
22615,Single Family Attached Residential Economy,1522.625
22615,Single Family Detached Residential Luxury,1673.875
22617,Single Family Attached Residential Economy,1522.625
11453,Retail Space,0
11453,Primary Schools,16379.6
11457,Single Family Detached Residential Economy,26579
11457,Multi-Family Residential Economy,48126.5
11463,Single Family Detached Residential Economy,26579
11463,Multi-Family Residential Economy,48126.5
12090,Single Family Detached Residential Economy,8309.444444
12091,Single Family Detached Residential Economy,8309.444444
12102,Single Family Detached Residential Economy,8309.444444
12103,Single Family Detached Residential Economy,8309.444444
12104,Single Family Detached Residential Economy,8309.444444
12105,Single Family Detached Residential Economy,8309.444444
12110,Single Family Detached Residential Economy,8309.444444
12111,Single Family Detached Residential Economy,8309.444444
12114,Single Family Detached Residential Economy,8309.444444
12762,Government Operations Space,0
12762,Single Family Attached Residential Economy,3495.714286
12768,Government Operations Space,0
12768,Single Family Attached Residential Economy,3495.714286
12786,Government Operations Space,0
12786,Single Family Attached Residential Economy,3495.714286
13635,Retail Space,720.5
13635,Religious Space,1424
13638,Retail Space,720.5
13638,Religious Space,1424
13643,Retail Space,720.5
13643,Religious Space,1424
13647,Retail Space,720.5
13647,Religious Space,1424
13750,Single Family Detached Residential Economy,5167.4
13751,Single Family Detached Residential Economy,5167.4
13760,Single Family Detached Residential Economy,5167.4
13761,Single Family Detached Residential Economy,5167.4
13766,Single Family Detached Residential Economy,5167.4
13813,Single Family Attached Residential Economy,800
13813,Multi-Family Residential Economy,1000
13813,Single Family Detached Residential Economy,7698.333333
13813,Single Family Detached Residential Luxury,1826.666667
14850,Single Family Attached Residential Economy,1182.5
14850,Retail Space,9723
14850,Multi-Family Residential Economy,9842.5
14851,Single Family Attached Residential Economy,1182.5
14851,Retail Space,9723
14851,Multi-Family Residential Economy,9842.5
14858,Retail Space,42678
14860,Single Family Attached Residential Luxury,1144.5
14860,Single Family Detached Residential Luxury,19484.5
14869,Single Family Attached Residential Luxury,1144.5
14869,Single Family Detached Residential Luxury,19484.5
14893,Single Family Attached Residential Economy,4227
14893,Light Industrial Space,1120
14893,Single Family Detached Residential Luxury,3244
14893,Retail Space,11293
14893,Multi-Family Residential Economy,28758
14897,Single Family Detached Residential Economy,1032
14897,Single Family Attached Residential Economy,8079
14897,Multi-Family Residential Economy,20381
16719,Single Family Detached Residential Luxury,720.375
16719,Multi-Family Residential Economy,2387.625
16719,Single Family Attached Residential Economy,420.5
16720,Single Family Detached Residential Luxury,720.375
16720,Multi-Family Residential Economy,2387.625
16720,Single Family Attached Residential Economy,420.5
16721,Single Family Detached Residential Luxury,720.375
16721,Multi-Family Residential Economy,2387.625
16721,Single Family Attached Residential Economy,420.5
16722,Single Family Detached Residential Luxury,720.375
16722,Multi-Family Residential Economy,2387.625
16722,Single Family Attached Residential Economy,420.5
16723,Single Family Detached Residential Luxury,720.375
16723,Multi-Family Residential Economy,2387.625
16723,Single Family Attached Residential Economy,420.5
16724,Single Family Detached Residential Luxury,720.375
16724,Multi-Family Residential Economy,2387.625
16724,Single Family Attached Residential Economy,420.5
16725,Single Family Detached Residential Luxury,720.375
16725,Multi-Family Residential Economy,2387.625
16725,Single Family Attached Residential Economy,420.5
17579,Single Family Detached Residential Economy,307.6666667
17579,Single Family Detached Residential Luxury,2099.666667
17579,Single Family Attached Residential Economy,3908.666667
17579,Multi-Family Residential Economy,40823
17580,Single Family Detached Residential Economy,307.6666667
17580,Single Family Detached Residential Luxury,2099.666667
17580,Single Family Attached Residential Economy,3908.666667
17580,Multi-Family Residential Economy,40823
17582,Single Family Detached Residential Economy,307.6666667
17582,Single Family Detached Residential Luxury,2099.666667
17582,Single Family Attached Residential Economy,3908.666667
17582,Multi-Family Residential Economy,40823
17607,Retail Space,2167.4
17612,Retail Space,2167.4
17613,Retail Space,2167.4
17615,Retail Space,2167.4
18212,Single Family Detached Residential Economy,160
18212,Single Family Detached Residential Luxury,240
18212,Single Family Attached Residential Economy,3712
18212,Multi-Family Residential Economy,22758
18213,Single Family Detached Residential Economy,160
18213,Single Family Detached Residential Luxury,240
18213,Single Family Attached Residential Economy,3712
18213,Multi-Family Residential Economy,22758
18219,Single Family Detached Residential Economy,160
18219,Single Family Detached Residential Luxury,240
18219,Single Family Attached Residential Economy,3712
18219,Multi-Family Residential Economy,22758
18220,Single Family Attached Residential Economy,5851.333333
10594,Government Operations Space,0
10594,Retail Space,0
10594,Office Space,9840
10594,Multi-Family Residential Economy,56498
10621,Active Park Space,0
10622,Active Park Space,0
10623,Active Park Space,0
10624,Active Park Space,0
10625,Active Park Space,0
10626,Active Park Space,0
10628,Office Space,1650
10628,Single Family Attached Residential Economy,1968
10628,Single Family Detached Residential Economy,11746.5
10629,Office Space,1650
10629,Single Family Attached Residential Economy,1968
10629,Single Family Detached Residential Economy,11746.5
11454,Single Family Attached Residential Economy,660
11454,Retail Space,9538.5
11454,Multi-Family Residential Economy,34502.5
11454,Health Care Space,13705
11455,Single Family Attached Residential Economy,660
11455,Retail Space,9538.5
11455,Multi-Family Residential Economy,34502.5
11455,Health Care Space,13705
11474,Single Family Attached Residential Economy,1931
11474,Single Family Detached Residential Luxury,6329
11474,Multi-Family Residential Economy,10566
11474,Single Family Detached Residential Economy,77761
11488,Single Family Detached Residential Economy,5835.666667
11489,Single Family Detached Residential Economy,5835.666667
11490,Single Family Detached Residential Economy,5835.666667
11491,Single Family Detached Residential Economy,5835.666667
11493,Single Family Detached Residential Economy,5835.666667
11494,Single Family Detached Residential Economy,5835.666667
12173,Single Family Detached Residential Economy,709.1666667
12174,Single Family Detached Residential Economy,709.1666667
12175,Single Family Detached Residential Economy,709.1666667
12176,Single Family Detached Residential Economy,709.1666667
12177,Single Family Detached Residential Economy,709.1666667
12178,Single Family Detached Residential Economy,709.1666667
13611,Single Family Detached Residential Economy,1036.75
13612,Single Family Detached Residential Economy,1036.75
13613,Single Family Detached Residential Economy,1036.75
13614,Single Family Detached Residential Economy,1036.75
13615,Single Family Detached Residential Economy,1036.75
13616,Single Family Detached Residential Economy,1036.75
13617,Single Family Detached Residential Economy,1036.75
13618,Single Family Detached Residential Economy,1036.75
13619,Single Family Detached Residential Economy,1036.75
13620,Single Family Detached Residential Economy,1036.75
13621,Single Family Detached Residential Economy,1036.75
13622,Single Family Detached Residential Economy,1036.75
13623,Single Family Detached Residential Economy,1036.75
13624,Single Family Detached Residential Economy,1036.75
13670,Single Family Detached Residential Economy,13628.66667
13671,Single Family Detached Residential Economy,13628.66667
13675,Single Family Detached Residential Economy,13628.66667
13676,Single Family Detached Residential Economy,13628.66667
13681,Single Family Detached Residential Economy,13628.66667
13682,Single Family Detached Residential Economy,13628.66667
13724,Single Family Attached Residential Economy,1337.142857
13724,Multi-Family Residential Economy,1166.857143
13724,Single Family Detached Residential Economy,16553
13725,Single Family Detached Residential Economy,20967.5
13729,Single Family Attached Residential Economy,1337.142857
13729,Multi-Family Residential Economy,1166.857143
13729,Single Family Detached Residential Economy,16553
13730,Single Family Detached Residential Economy,20967.5
13731,Single Family Attached Residential Economy,1337.142857
13731,Multi-Family Residential Economy,1166.857143
13731,Single Family Detached Residential Economy,16553
13732,Single Family Attached Residential Economy,1337.142857
13732,Multi-Family Residential Economy,1166.857143
13732,Single Family Detached Residential Economy,16553
13736,Single Family Attached Residential Economy,1337.142857
13736,Multi-Family Residential Economy,1166.857143
13736,Single Family Detached Residential Economy,16553
13737,Single Family Attached Residential Economy,1337.142857
13737,Multi-Family Residential Economy,1166.857143
13737,Single Family Detached Residential Economy,16553
13744,Single Family Attached Residential Economy,1337.142857
13744,Multi-Family Residential Economy,1166.857143
13744,Single Family Detached Residential Economy,16553
13811,Single Family Attached Residential Economy,3975.333333
13811,Multi-Family Residential Economy,9822.666667
13812,Single Family Attached Residential Economy,3975.333333
13812,Multi-Family Residential Economy,9822.666667
14880,Single Family Attached Residential Economy,758.8
14880,Hotel Space,0
14880,Multi-Family Residential Economy,1483.6
14880,Multi-Family Residential Luxury,3749.6
14880,Office Space,700
14880,Single Family Detached Residential Luxury,1494.6
14880,Single Family Attached Residential Luxury,4427.4
14881,Single Family Attached Residential Economy,758.8
14881,Hotel Space,0
14881,Multi-Family Residential Economy,1483.6
14881,Multi-Family Residential Luxury,3749.6
14881,Office Space,700
14881,Single Family Detached Residential Luxury,1494.6
14881,Single Family Attached Residential Luxury,4427.4
14882,Single Family Attached Residential Economy,758.8
14882,Hotel Space,0
14882,Multi-Family Residential Economy,1483.6
14882,Multi-Family Residential Luxury,3749.6
14882,Office Space,700
14580,Multi-Family Residential Economy,1337.6
14606,Single Family Attached Residential Economy,262
14606,Single Family Detached Residential Luxury,106
14606,Office Space,628.6666667
14606,Retail Space,1622.333333
14606,Multi-Family Residential Economy,2153.666667
14607,Single Family Attached Residential Economy,262
14607,Single Family Detached Residential Luxury,106
14607,Office Space,628.6666667
14607,Retail Space,1622.333333
14607,Multi-Family Residential Economy,2153.666667
14608,Single Family Attached Residential Economy,262
14608,Single Family Detached Residential Luxury,106
14608,Office Space,628.6666667
14608,Retail Space,1622.333333
14608,Multi-Family Residential Economy,2153.666667
14610,Single Family Attached Residential Economy,262
14610,Single Family Detached Residential Luxury,106
14610,Office Space,628.6666667
14610,Retail Space,1622.333333
14610,Multi-Family Residential Economy,2153.666667
14611,Single Family Attached Residential Economy,262
14611,Single Family Detached Residential Luxury,106
14611,Office Space,628.6666667
14611,Retail Space,1622.333333
14611,Multi-Family Residential Economy,2153.666667
14618,Retail Space,333.2222222
14618,Single Family Attached Residential Economy,364.7777778
14621,Retail Space,333.2222222
14621,Single Family Attached Residential Economy,364.7777778
14622,Retail Space,333.2222222
14622,Single Family Attached Residential Economy,364.7777778
14624,Retail Space,333.2222222
14624,Single Family Attached Residential Economy,364.7777778
14625,Retail Space,333.2222222
14625,Single Family Attached Residential Economy,364.7777778
14627,Retail Space,333.2222222
14627,Single Family Attached Residential Economy,364.7777778
14628,Retail Space,333.2222222
14628,Single Family Attached Residential Economy,364.7777778
14629,Retail Space,333.2222222
14629,Single Family Attached Residential Economy,364.7777778
14630,Retail Space,333.2222222
14630,Single Family Attached Residential Economy,364.7777778
14631,Single Family Attached Residential Economy,262
14631,Single Family Detached Residential Luxury,106
14631,Office Space,628.6666667
14631,Retail Space,1622.333333
