TAZ,Commodity,Quantity
20240,Spaced Rural Residential Economy,6883
19381,Retail Space,80128
15046,Health Care Space,31840
1471,Religious Space,8472
4686,Multi-Family Residential Economy,202279
1242,Single Family Attached Residential Economy,21550
12641,Office Space,2500
10980,Light Industrial Space,93540
14369,Retail Space,4046
4563,Single Family Detached Residential Economy,391838
12209,Office Space,325837
21845,Spaced Rural Residential Economy,52530
10292,Single Family Detached Residential Economy,2400
3390,Single Family Detached Residential Economy,63253
21294,Spaced Rural Residential Economy,14061
10919,Multi-Family Residential Economy,112766
18913,Retail Space,27238
19711,Multi-Family Residential Economy,20672
9281,Single Family Attached Residential Economy,8884
1951,Retail Space,38677
4303,Post-Secondary Institution Space,2522
7046,Retail Space,173081
17938,Office Space,23690
5954,Multi-Family Residential Economy,210369
10044,Religious Space,10236
11116,Spaced Rural Residential Economy,22657
5363,Single Family Detached Residential Economy,65965
18322,Single Family Attached Residential Economy,2438
859,Multi-Family Residential Economy,15854
12769,Single Family Detached Residential Economy,118540
2034,Retail Space,6665
6265,Active Park Space,134286
8936,Retail Space,218427
16211,Spaced Rural Residential Economy,4499
19203,Single Family Detached Residential Economy,3624
2281,Multi-Family Residential Economy,39196
17230,Single Family Detached Residential Economy,32541
13250,Active Park Space,3772
5806,Government Operations Space,5000
2141,Light Industrial Space,5480
17781,Single Family Detached Residential Economy,116338
18919,Religious Space,10000
10879,Single Family Detached Residential Economy,241805
12017,Religious Space,30948
9998,Single Family Attached Residential Economy,1954
5280,Single Family Detached Residential Economy,36060
2832,Multi-Family Residential Economy,142560
3564,Single Family Attached Residential Economy,21452
17605,Single Family Attached Residential Economy,1451
13025,Single Family Attached Residential Economy,4495
13937,Single Family Detached Residential Economy,71414
8338,Single Family Detached Residential Economy,193449
9297,Single Family Detached Residential Economy,149920
3671,Single Family Attached Residential Economy,4322
454,Single Family Attached Residential Economy,9935
20779,Spaced Rural Residential Economy,1389
2241,Single Family Detached Residential Economy,53302
19521,Multi-Family Residential Economy,22839
6420,Office Space,4233
13089,Spaced Rural Residential Economy,12985
8215,Single Family Attached Residential Economy,21786
6714,Single Family Detached Residential Economy,171052
8193,Multi-Family Residential Economy,119007
18334,Single Family Attached Residential Economy,3290
9931,Single Family Detached Residential Economy,43202
20145,Spaced Rural Residential Economy,194576
17092,Multi-Family Residential Economy,132256
16928,Spaced Rural Residential Economy,8745
12455,Spaced Rural Residential Economy,31669
9765,Single Family Detached Residential Economy,16919
1607,Single Family Detached Residential Economy,21618
3886,Multi-Family Residential Economy,90802
669,Multi-Family Residential Economy,102070
21188,Single Family Detached Residential Economy,5250
14509,Multi-Family Residential Economy,9732
9783,Religious Space,5000
8993,Multi-Family Residential Economy,224700
2336,Single Family Detached Residential Economy,17141
3837,Single Family Attached Residential Economy,1408
7514,Single Family Detached Residential Economy,4858
434,Retail Space,35454
2395,Retail Space,3500
20945,Spaced Rural Residential Economy,12183
12721,Recreation Space,22622
7348,Single Family Detached Residential Economy,2136
5786,Office Space,33244
13322,Single Family Attached Residential Economy,3300
7200,Religious Space,7500
10867,Single Family Detached Residential Economy,373221
18120,Active Park Space,55654
18526,Multi-Family Residential Economy,344014
5819,Single Family Detached Residential Economy,17020
12331,Light Industrial Space,41579
7198,Multi-Family Residential Economy,84432
5707,Retail Space,44350
8108,Single Family Attached Residential Economy,3844
1234,Retail Space,19394
11501,Single Family Detached Residential Economy,259544
13754,Single Family Attached Residential Economy,10163
5520,Office Space,23595
12023,Retail Space,17693
10297,Multi-Family Residential Economy,9600
1968,Single Family Detached Residential Economy,11714
886,Single Family Attached Residential Economy,5037
17847,Light Industrial Space,58900
13296,Single Family Detached Residential Economy,81296
11159,Single Family Attached Residential Economy,69277
13120,Single Family Attached Residential Economy,1166
12816,Spaced Rural Residential Economy,37708
71,Multi-Family Residential Economy,11146
19825,Single Family Detached Residential Economy,135140
915,Hotel Space,38450
21940,Spaced Rural Residential Economy,23870
10931,Multi-Family Residential Economy,61337
3402,Single Family Detached Residential Economy,106727
359,Single Family Attached Residential Economy,34937
22244,Single Family Attached Residential Economy,1203
20283,Single Family Attached Residential Economy,4448
1329,Retail Space,4467
17242,Single Family Detached Residential Economy,33109
9376,Single Family Attached Residential Economy,13958
19649,Single Family Attached Residential Economy,13170
21306,Spaced Rural Residential Economy,7955
5985,Single Family Detached Residential Economy,21830
12135,Single Family Detached Residential Economy,103545
3622,Religious Space,2500
12438,Light Industrial Space,157984
12721,Spaced Rural Residential Economy,22682
7082,Single Family Detached Residential Economy,88352
7847,Single Family Attached Residential Economy,20612
2718,Multi-Family Residential Economy,227029
18410,Single Family Detached Residential Economy,192557
168,Retail Space,35952
16560,Spaced Rural Residential Economy,20381
135,Multi-Family Residential Economy,66442
7336,Single Family Detached Residential Economy,7886
22764,Light Industrial Space,111175
1159,Single Family Attached Residential Economy,35165
1208,Multi-Family Residential Economy,4279
7510,Single Family Attached Residential Economy,13397
9706,Retail Space,30721
5446,Single Family Detached Residential Economy,70599
19754,Single Family Detached Residential Economy,43975
9517,Depot Space,2444
5997,Single Family Detached Residential Economy,6547
8981,Multi-Family Residential Economy,5621
10423,Retail Space,39194
4437,Multi-Family Residential Economy,109821
18956,Single Family Attached Residential Economy,114546
16377,Spaced Rural Residential Economy,10757
19837,Single Family Detached Residential Economy,33045
14614,Office Space,4909
837,Religious Space,3782
8136,Single Family Detached Residential Economy,120356
3969,Multi-Family Residential Economy,39245
1785,Single Family Detached Residential Economy,22733
8310,Single Family Attached Residential Economy,65325
18909,Office Space,17360
5612,Retail Space,11740
1876,Single Family Attached Residential Economy,3918
3592,Single Family Detached Residential Economy,1714
17408,Retail Space,56819
2376,Primary Schools,58273
9226,Single Family Detached Residential Economy,150577
20554,Single Family Detached Residential Economy,169615
8932,Single Family Attached Residential Economy,3712
12550,Spaced Rural Residential Economy,58312
9309,Single Family Detached Residential Economy,109131
8604,Single Family Detached Residential Economy,395418
2407,Single Family Detached Residential Economy,12364
14027,Single Family Attached Residential Economy,19288
19910,Single Family Attached Residential Economy,31017
1702,Single Family Detached Residential Economy,58219
22961,Active Park Space,100000
19606,Spaced Rural Residential Economy,6104
21928,Spaced Rural Residential Economy,15097
3307,Single Family Detached Residential Economy,43812
13113,Retail Space,22384
9915,Single Family Attached Residential Economy,5446
15494,Spaced Rural Residential Economy,21065
3481,Single Family Attached Residential Economy,16807
9364,Single Family Attached Residential Economy,9945
17147,Single Family Detached Residential Economy,4924
10643,Active Park Space,11000
20589,Spaced Rural Residential Economy,2285
15174,Single Family Detached Residential Economy,629412
342,Office Space,11400
1246,Retail Space,10285
20506,Spaced Rural Residential Economy,11267
225,Multi-Family Residential Economy,28956
3224,Single Family Detached Residential Economy,75042
2710,Hotel Space,109913
7597,Retail Space,6281
9658,Single Family Detached Residential Economy,63532
18132,Active Park Space,37675
13443,Multi-Family Residential Economy,3136
17864,Single Family Detached Residential Economy,78634
16999,Spaced Rural Residential Economy,15220
5914,Single Family Detached Residential Economy,83879
17947,Single Family Detached Residential Economy,145320
2747,Office Space,50117
14535,Retail Space,22081
4007,Retail Space,15558
17819,Health Care Space,5285
1025,Multi-Family Residential Economy,77701
11254,Single Family Attached Residential Economy,7126
22553,Office Space,140883
10319,Mobile Home Residential,235177
4637,Office Space,80123
7787,Single Family Detached Residential Economy,26359
3032,Office Space,16475
12790,Multi-Family Residential Economy,26111
8080,Office Space,70033
19692,Multi-Family Residential Economy,4608
728,Government Operations Space,2500
17816,Spaced Rural Residential Economy,11136
3243,Single Family Detached Residential Economy,93598
14020,Single Family Detached Residential Economy,21992
289,Multi-Family Residential Economy,140281
1270,Single Family Detached Residential Economy,49605
13303,Single Family Detached Residential Economy,85307
18790,Mobile Home Residential,1
5375,Single Family Detached Residential Economy,136237
9554,Single Family Attached Residential Economy,3983
21176,Single Family Detached Residential Economy,2828
20228,Spaced Rural Residential Economy,3378
10125,Primary Schools,39851
831,Single Family Detached Residential Economy,2584
15755,Spaced Rural Residential Economy,14408
1524,Single Family Detached Residential Economy,53628
4399,Active Park Space,64364
4919,Light Industrial Space,260043
7958,Single Family Detached Residential Economy,38653
3568,Retail Space,15861
17325,Single Family Detached Residential Economy,8305
4044,Health Care Space,18419
13958,Multi-Family Residential Economy,99296
18806,Spaced Rural Residential Economy,3456
17256,Single Family Attached Residential Economy,77848
4214,Single Family Detached Residential Economy,328548
1959,Single Family Attached Residential Economy,40389
2008,Multi-Family Residential Economy,117903
517,Retail Space,16220
4447,Office Space,212882
13405,Single Family Attached Residential Economy,4771
3898,Multi-Family Residential Economy,62738
2324,Single Family Detached Residential Economy,29339
2407,Retail Space,45590
537,Single Family Attached Residential Economy,34794
12797,Multi-Family Residential Economy,13860
8251,Mobile Home Residential,122420
9672,Active Park Space,9294
22598,Single Family Detached Residential Economy,37415
11278,Health Care Space,4184
5268,Single Family Detached Residential Economy,67212
12414,Light Industrial Space,240348
8319,Single Family Detached Residential Economy,68598
4698,Multi-Family Residential Economy,310631
10280,Single Family Detached Residential Economy,8660
1417,Single Family Detached Residential Economy,6551
19647,Single Family Detached Residential Economy,29808
10784,Single Family Detached Residential Economy,122623
20499,Multi-Family Residential Economy,10380
1591,Single Family Attached Residential Economy,13246
7697,Single Family Detached Residential Economy,6288
9171,Multi-Family Residential Economy,49328
14065,Multi-Family Residential Economy,5925
15058,Health Care Space,51270
3359,Primary Schools,19499
4020,Single Family Attached Residential Economy,3240
156,Retail Space,34143
814,Light Industrial Space,53500
12372,Spaced Rural Residential Economy,5042
2125,Office Space,2500
4107,Single Family Detached Residential Economy,57943
2115,Multi-Family Residential Economy,1462
6989,Heavy Industry Space,389
4281,Single Family Attached Residential Economy,5746
21389,Spaced Rural Residential Economy,2523
14075,Office Space,21825
19732,Single Family Attached Residential Economy,11840
16916,Spaced Rural Residential Economy,29814
9119,Single Family Detached Residential Economy,56429
7158,Single Family Detached Residential Economy,2341
21272,Hotel Space,5068
18486,Single Family Detached Residential Economy,296590
7332,Single Family Attached Residential Economy,224213
102,Single Family Detached Residential Economy,57467
19198,Light Industrial Space,113257
9523,Retail Space,1694
6536,Single Family Detached Residential Economy,116782
15387,Spaced Rural Residential Economy,140520
14642,Single Family Detached Residential Economy,3263
15104,Light Industrial Space,57000
1225,Office Space,56117
22289,Spaced Rural Residential Economy,9283
3591,Religious Space,8501
2801,Multi-Family Residential Economy,16873
4126,Light Industrial Space,105
7165,Single Family Detached Residential Economy,60516
8160,Recreation Space,26626
14698,Primary Schools,4398
5743,Single Family Detached Residential Economy,68234
7274,Multi-Family Residential Economy,39188
10216,Single Family Detached Residential Economy,34139
15264,Retail Space,10000
3314,Single Family Detached Residential Economy,56282
10111,Active Park Space,42099
18422,Single Family Detached Residential Economy,78494
2415,Single Family Attached Residential Economy,34791
2419,Light Industrial Space,5042
280,Single Family Detached Residential Economy,12423
14649,Single Family Attached Residential Economy,4393
4508,Multi-Family Residential Economy,550496
5458,Single Family Detached Residential Economy,31416
5636,Light Industrial Space,551153
15034,Health Care Space,533662
9471,Single Family Attached Residential Economy,1222
3497,Single Family Detached Residential Economy,4649
8675,Single Family Detached Residential Economy,15489
22892,Multi-Family Residential Economy,7226
11608,Single Family Detached Residential Economy,47327
11932,Primary Schools,102953
14825,Single Family Detached Residential Economy,88241
10340,Single Family Detached Residential Economy,6499
13557,Single Family Detached Residential Economy,50028
5142,Multi-Family Residential Economy,318104
4824,Single Family Detached Residential Economy,79052
14483,Single Family Attached Residential Economy,2729
4676,Religious Space,50734
19932,Single Family Detached Residential Economy,40938
17736,Office Space,51712
8085,Office Space,129371
15583,Religious Space,2500
17503,Single Family Detached Residential Economy,2178
22681,Single Family Detached Residential Economy,101691
18429,Single Family Attached Residential Economy,24834
22201,Spaced Rural Residential Economy,33118
4297,Single Family Detached Residential Economy,157270
5776,Multi-Family Residential Economy,201118
10447,Single Family Detached Residential Economy,32105
9641,Light Industrial Space,26679
10771,Primary Schools,53866
11140,Single Family Detached Residential Economy,123183
13184,Retail Space,4516
22973,Single Family Attached Residential Economy,124262
914,Single Family Detached Residential Economy,50562
2569,Office Space,8000
764,Multi-Family Residential Economy,250722
22914,Office Space,83682
22533,Religious Space,10000
10601,Retail Space,17460
9036,Single Family Detached Residential Economy,3944
6170,Active Park Space,78623
18227,Single Family Attached Residential Economy,5162
18403,Single Family Detached Residential Economy,2260
14281,Active Park Space,44309
17135,Single Family Detached Residential Economy,189840
22467,Spaced Rural Residential Economy,36270
22648,Office Space,7607
3929,Single Family Detached Residential Economy,3394
17593,Single Family Attached Residential Economy,2882
19250,Spaced Rural Residential Economy,27267
8402,Single Family Detached Residential Economy,454151
14376,Single Family Attached Residential Economy,2459
10197,Recreation Space,7509
14552,Single Family Detached Residential Economy,3244
3124,Retail Space,37650
17769,Single Family Detached Residential Economy,222365
19730,Single Family Detached Residential Economy,18246
18061,Single Family Attached Residential Economy,10373
185,Single Family Detached Residential Economy,26658
6037,Multi-Family Residential Economy,2206
2198,Multi-Family Residential Economy,103948
22574,Single Family Detached Residential Economy,41127
73,Retail Space,6201
13849,Single Family Attached Residential Economy,8068
2153,Light Industrial Space,21516
10632,Single Family Attached Residential Economy,5809
11033,Spaced Rural Residential Economy,4737
14718,Single Family Detached Residential Economy,56015
19,Single Family Detached Residential Economy,5800
981,Single Family Attached Residential Economy,21921
22866,Single Family Attached Residential Economy,2478
8397,Retail Space,105503
7305,Multi-Family Residential Economy,103411
707,Retail Space,5320
653,Single Family Detached Residential Economy,18019
13391,Single Family Detached Residential Economy,33938
14713,Retail Space,132221
9152,Multi-Family Residential Economy,30752
11064,Single Family Attached Residential Economy,1160
19663,Primary Schools,25511
14737,Single Family Detached Residential Economy,79428
17275,Multi-Family Residential Economy,35744
2729,Hotel Space,153476
17797,Primary Schools,134450
9689,Single Family Detached Residential Economy,1018
14510,Religious Space,5734
4748,Single Family Detached Residential Economy,34621
4102,Retail Space,3710
6071,Office Space,54291
19749,Single Family Detached Residential Economy,44216
7084,Hotel Space,1486
13022,Government Operations Space,10000
4857,Multi-Family Residential Economy,173696
15359,Retail Space,43519
7799,Single Family Detached Residential Economy,10794
17166,Single Family Detached Residential Economy,17242
6915,Religious Space,18268
17776,Single Family Attached Residential Economy,280891
9321,Single Family Detached Residential Economy,53781
22016,Spaced Rural Residential Economy,5807
3696,Multi-Family Residential Economy,59820
2419,Single Family Detached Residential Economy,19290
4380,Single Family Detached Residential Economy,71756
15114,Spaced Rural Residential Economy,520
13747,Single Family Detached Residential Economy,51221
11786,Single Family Detached Residential Economy,137966
11109,Spaced Rural Residential Economy,87738
20287,Religious Space,7500
17059,Single Family Detached Residential Economy,98921
5586,Multi-Family Residential Economy,408289
11147,Retail Space,32468
7547,Multi-Family Residential Economy,14151
5754,Religious Space,5000
13576,Retail Space,6877
12142,Single Family Attached Residential Economy,55587
13799,Spaced Rural Residential Economy,1418
15914,Spaced Rural Residential Economy,8819
2535,Multi-Family Residential Economy,86854
22783,Light Industrial Space,33480
10121,Single Family Detached Residential Economy,132991
8160,Single Family Detached Residential Economy,10560
3219,Single Family Detached Residential Economy,46001
19488,Single Family Detached Residential Economy,64530
10625,Single Family Detached Residential Economy,28616
12586,Single Family Detached Residential Economy,34520
1104,Single Family Detached Residential Economy,70174
4316,Single Family Detached Residential Economy,135705
13683,Single Family Detached Residential Economy,6583
15644,Single Family Detached Residential Economy,14644
2110,Multi-Family Residential Economy,6746
9012,Multi-Family Residential Economy,17143
19160,Retail Space,216297
9704,Office Space,25116
14687,Retail Space,13360
7089,Light Industrial Space,24629
2426,Single Family Detached Residential Economy,4831
2198,Retail Space,6424
11793,Single Family Detached Residential Economy,246364
22543,Retail Space,15603
311,Single Family Detached Residential Economy,37381
7541,Single Family Attached Residential Economy,10040
11002,Spaced Rural Residential Economy,4492
10057,Single Family Detached Residential Economy,109489
3155,Single Family Detached Residential Economy,92165
20126,Spaced Rural Residential Economy,8066
14483,Single Family Detached Residential Economy,25056
7229,Multi-Family Residential Economy,490293
3329,Single Family Attached Residential Economy,1406
18956,Single Family Detached Residential Economy,3975
13526,Retail Space,71928
572,Single Family Detached Residential Economy,140228
5758,Single Family Attached Residential Economy,10366
1265,Single Family Detached Residential Economy,35351
4800,Multi-Family Residential Economy,114648
9694,Multi-Family Residential Economy,6000
7873,Single Family Attached Residential Economy,2493
327,Multi-Family Residential Economy,26389
10632,Single Family Detached Residential Economy,53272
5661,Post-Secondary Institution Space,41426
19189,Office Space,2435
415,Retail Space,58194
4229,Single Family Attached Residential Economy,20276
1115,Government Operations Space,5000
16707,Spaced Rural Residential Economy,3605
12365,Retail Space,57714
1436,Single Family Detached Residential Economy,107536
157,Single Family Attached Residential Economy,7582
12942,Single Family Attached Residential Economy,11017
1987,Single Family Detached Residential Economy,22561
15276,Single Family Detached Residential Economy,157669
18949,Single Family Detached Residential Economy,24345
10548,Light Industrial Space,96500
74,Single Family Attached Residential Economy,23474
12047,Single Family Detached Residential Economy,72995
6448,Single Family Detached Residential Economy,95909
565,Single Family Detached Residential Economy,16720
9323,Active Park Space,1102
19032,Retail Space,76648
14922,Active Park Space,7277
13854,Single Family Detached Residential Economy,44051
11052,Single Family Attached Residential Economy,252951
17954,Single Family Attached Residential Economy,145445
20288,Single Family Detached Residential Economy,7323
3409,Single Family Detached Residential Economy,67541
2813,Multi-Family Residential Economy,2610
3518,Multi-Family Residential Economy,14422
20176,Single Family Attached Residential Economy,3236
14293,Single Family Attached Residential Economy,4768
19872,Spaced Rural Residential Economy,42883
13742,Single Family Attached Residential Economy,23443
7004,Spaced Rural Residential Economy,6190
7331,Retail Space,10974
874,Single Family Attached Residential Economy,11329
7776,Single Family Attached Residential Economy,8976
7454,Religious Space,2500
897,Retail Space,62217
3326,Single Family Detached Residential Economy,40155
9751,Multi-Family Residential Economy,40163
2896,Multi-Family Residential Economy,14664
1103,Religious Space,10000
1059,Office Space,21652
9760,Single Family Detached Residential Economy,83442
19487,Religious Space,10000
10311,Single Family Detached Residential Economy,21548
3818,Single Family Attached Residential Economy,3468
3758,Single Family Detached Residential Economy,8996
22693,Single Family Detached Residential Economy,350830
159,Office Space,5087
7537,Religious Space,5000
11164,Single Family Detached Residential Economy,104614
20926,Spaced Rural Residential Economy,2310
76,Office Space,6986
17598,Single Family Detached Residential Economy,60839
7882,Retail Space,4104
18149,Single Family Detached Residential Economy,144139
10551,Multi-Family Residential Economy,362295
2396,Single Family Attached Residential Economy,24666
17453,Multi-Family Residential Economy,3617
2870,Retail Space,6121
18389,Office Space,64956
7491,Single Family Attached Residential Economy,4378
22142,Single Family Detached Residential Economy,9597
19571,Single Family Detached Residential Economy,90752
18866,Single Family Detached Residential Economy,60211
11964,Single Family Detached Residential Economy,313697
482,Single Family Detached Residential Economy,14797
7621,Single Family Detached Residential Economy,24165
491,Multi-Family Residential Economy,13445
22317,Government Operations Space,7500
574,Multi-Family Residential Economy,4502
17237,Single Family Attached Residential Economy,1791
14331,Multi-Family Residential Economy,1300
8815,Multi-Family Residential Economy,776880
10383,Health Care Space,20156
14414,Multi-Family Residential Economy,39831
5731,Single Family Detached Residential Economy,29212
8495,Single Family Attached Residential Economy,367441
16897,Spaced Rural Residential Economy,2480
2355,Single Family Detached Residential Economy,5233
21280,Single Family Attached Residential Economy,3969
3694,Single Family Detached Residential Economy,12766
2849,Office Space,48457
1978,Single Family Attached Residential Economy,24430
3917,Multi-Family Residential Economy,91308
9053,Retail Space,19620
4000,Multi-Family Residential Economy,54245
21909,Spaced Rural Residential Economy,1794
14305,Single Family Detached Residential Economy,2128
4376,Single Family Attached Residential Economy,10039
2081,Religious Space,13364
12058,Light Industrial Space,190986
21401,Spaced Rural Residential Economy,11593
20850,Spaced Rural Residential Economy,1873
17740,Light Industrial Space,393637
21318,Spaced Rural Residential Economy,1924
18899,Multi-Family Residential Economy,62589
505,Retail Space,11959
12325,Single Family Detached Residential Economy,27481
19036,Government Operations Space,31484
6726,Single Family Detached Residential Economy,62145
5093,Single Family Attached Residential Economy,198338
6258,Single Family Detached Residential Economy,56408
7737,Multi-Family Residential Economy,2484
19670,Government Operations Space,10000
17023,Spaced Rural Residential Economy,9976
17337,Single Family Detached Residential Economy,3313
5541,Single Family Detached Residential Economy,168851
16472,Spaced Rural Residential Economy,7144
6092,Single Family Detached Residential Economy,15312
15613,Retail Space,15828
17420,Single Family Detached Residential Economy,84400
16389,Spaced Rural Residential Economy,4937
4322,Hotel Space,62365
347,Single Family Attached Residential Economy,10746
12828,Spaced Rural Residential Economy,3994
14604,Multi-Family Residential Economy,9644
6524,Single Family Detached Residential Economy,43749
22954,Light Industrial Space,912183
1100,Health Care Space,63654
1429,Single Family Detached Residential Economy,77387
